Date,0C Magnetic Field - X ([nT]),0B Magnetic Field - Y ([nT]),0A Magnetic Field - Z ([nT]),
2016-01-20 01:31:00,15650.8,4185.2,51000.6,
2016-01-20 01:32:00,-48992.8,18607.2,-135423.54,
2016-01-20 01:33:00,-48509.4,18056.6,-134832.7,
2016-01-20 01:34:00,-48965.8,18499.8,-135342.98,
2016-01-20 01:35:00,-49113.6,18647.4,-135490.68,
2016-01-20 01:36:00,-49086.8,18607.2,-135396.68,
2016-01-20 01:37:00,-49113.6,18634,-135410.12,
2016-01-20 01:38:00,-49073.4,18567,-135450.4,
2016-01-20 01:39:00,-49033,18580.4,-135450.4,
2016-01-20 01:40:00,-49100.2,18607.2,-135463.82,
2016-01-20 01:41:00,-49059.8,18580.4,-135463.82,
2016-01-20 01:42:00,-49059.8,18580.4,-135477.24,
2016-01-20 01:43:00,-49127,18607.2,-135477.24,
2016-01-20 01:44:00,-49086.8,18593.8,-135436.96,
2016-01-20 01:45:00,-49113.6,18593.8,-135463.82,
2016-01-20 01:46:00,-49999.8,19493.4,-136444.08,
2016-01-20 01:47:00,-50067,19668,-136484.36,
2016-01-20 01:48:00,-50134.2,19694.8,-136578.36,
2016-01-20 01:49:00,-50080.4,19668,-136605.22,
2016-01-20 01:50:00,-49919.2,19466.6,-136457.5,
2016-01-20 01:51:00,-50053.6,19560.6,-136444.08,
2016-01-20 01:52:00,-50013.2,19533.8,-136484.36,
2016-01-20 01:53:00,-49999.8,19507,-136444.08,
2016-01-20 01:54:00,-49973,19466.6,-136430.66,
2016-01-20 01:55:00,-49798.4,19319,-136175.52,
2016-01-20 01:56:00,-49986.4,19507,-136417.22,
2016-01-20 01:57:00,-49999.8,19480,-136417.22,
2016-01-20 01:58:00,-49973,19480,-136403.8,
2016-01-20 01:59:00,-49999.8,19520.4,-136430.66,
2016-01-20 02:00:00,-49919.2,19480,-136457.5,
2016-01-20 02:01:00,-50228.2,19775.4,-136820.08,
2016-01-20 02:02:00,-50067,19654.6,-136538.08,
2016-01-20 02:03:00,-50375.8,19950,-136873.78,
2016-01-20 02:04:00,-50335.6,19923.2,-136846.92,
2016-01-20 02:05:00,-49986.4,19466.6,-136470.94,
2016-01-20 02:06:00,-50080.4,19614.4,-136524.66,
2016-01-20 02:07:00,-50040.2,19533.8,-136430.66,
2016-01-20 02:08:00,-49946.2,19439.8,-136457.5,
2016-01-20 02:09:00,-49959.6,19493.4,-136497.8,
2016-01-20 02:10:00,-49999.8,19507,-136390.36,
2016-01-20 02:11:00,-49973,19453.2,-136457.5,
2016-01-20 02:12:00,-49973,19493.4,-136430.66,
