Date,0C Magnetic Field - X ([nT]),0B Magnetic Field - Y ([nT]),0A Magnetic Field - Z ([nT]),
05-04-2015 17:00:00,-22022.2,10116,76971.2,
05-04-2015 18:00:00,-21940.8,10032.4,77081.2,
05-04-2015 19:00:00,-21657.8,9709,77423.2,
05-04-2015 20:00:00,-21610,9666.59999999998,77466.6,
05-04-2015 21:00:00,-21485.6,9495.39999999999,77654.4,
05-04-2015 22:00:00,-21289,9326.2,77807.6,
05-04-2015 23:00:00,-21374,9411.40000000001,77718.4,
05-05-2015 00:00:00,-21417,9452.79999999998,77670.4,
05-05-2015 01:00:00,-21379,9398.19999999999,77733,
05-05-2015 02:00:00,-21445.2,9482.39999999999,77659,
05-05-2015 03:00:00,-22379.8,10580.8,76625.8,
05-05-2015 04:00:00,-21886.2,10036.2,77137.2,
05-05-2015 05:00:00,-21662.6,9766.8,77401.8,
05-05-2015 06:00:00,-21798.8,9890.20000000001,77301,
05-05-2015 07:00:00,-21505,9538.80000000001,77635.2,
05-05-2015 08:00:00,-21367.4,9199.20000000002,77660.6,
05-05-2015 09:00:00,-21261.4,9598.99999999999,77386.8,
05-05-2015 10:00:00,-21203.6,9497.99999999999,77450.2,
05-05-2015 11:00:00,-21201.8,9504.4,77419.4,
05-05-2015 12:00:00,-21981.6,10457.8,76570.6,
05-05-2015 13:00:00,-21868.6,10305.8,76725.8,
05-05-2015 14:00:00,-21639.6,9995.6,77010.2,
05-05-2015 15:00:00,-21557,9921.39999999998,77099,
05-05-2015 16:00:00,-21175.2,9494.00000000001,77455.8,
05-05-2015 17:00:00,-21227.8,9599.99999999999,77408.8,
05-05-2015 18:00:00,-21292.8,9645.99999999999,77414,
05-05-2015 19:00:00,-21237.6,9660.59999999998,77403,
05-05-2015 20:00:00,-21264.2,9697.19999999999,77394.2,
05-05-2015 21:00:00,-21274.6,9717.19999999999,77406.6,
05-05-2015 22:00:00,-22249.4,10832.6,76349.8,
05-05-2015 23:00:00,-21807.8,10319.8,76835.8,
05-06-2015 00:00:00,-21646.8,10121.4,77026.2,
05-06-2015 01:00:00,-21614.4,10075.4,77076.4,
05-06-2015 02:00:00,-21359.8,9794.60000000002,77359.4,
05-06-2015 03:00:00,-21401.8,9845.40000000001,77292.4,
05-06-2015 04:00:00,-21324.2,9793.39999999998,77349,
05-06-2015 05:00:00,-21271.6,9801.20000000001,77367.2,
05-06-2015 06:00:00,-21271.4,9801.60000000002,77357.4,
05-06-2015 07:00:00,-21945.8,10645.4,76565,
05-06-2015 08:00:00,-21862.4,10535.6,76687.6,
05-06-2015 09:00:00,-21651,10192.8,76932.2,
05-06-2015 10:00:00,-21379,9992.59999999998,77127.2,
05-06-2015 11:00:00,-21123.8,9626.99999999999,77455.8,
05-06-2015 12:00:00,-21148.6,9589.79999999999,77448.8,
05-06-2015 13:00:00,-21139.2,9561.6,77461.2,
05-06-2015 14:00:00,-21279.2,9599.59999999998,77406,
05-06-2015 15:00:00,-21152.8,9451.40000000001,77537.6,
05-06-2015 16:00:00,-21284.8,9596.60000000001,77445.4,
05-06-2015 17:00:00,-22352,10901,76221.4,
05-06-2015 18:00:00,-21789.8,10240.2,76837.2,
05-06-2015 19:00:00,-21620.6,10063.6,77035.4,
05-06-2015 20:00:00,-21597.6,10049.6,77067.6,
05-06-2015 21:00:00,-21377.8,9762.20000000002,77364.8,
05-06-2015 22:00:00,-21377.4,9770,77377.4,
05-06-2015 23:00:00,-21209.6,9640.80000000001,77487,
05-07-2015 00:00:00,-21301.8,9715.59999999999,77388.6,
05-07-2015 01:00:00,-21281,9672.60000000002,77436.4,
05-07-2015 02:00:00,-21946.2,10459.4,76688.2,
05-07-2015 03:00:00,-21895.8,10379.6,76771.2,
05-07-2015 04:00:00,-21708.4,10154.4,76980.4,
05-07-2015 05:00:00,-21701.2,10157.8,76981.6,
05-07-2015 06:00:00,-21412.6,9827.60000000001,77311.4,
05-07-2015 07:00:00,-21408.8,9842.8,77300,
05-07-2015 08:00:00,-21382.6,9839.79999999998,77307.4,
05-07-2015 09:00:00,-21278.4,9842.60000000002,77376.4,
05-07-2015 10:00:00,-20698,9910.20000000001,77440.8,
05-07-2015 11:00:00,-20635.4,9862.39999999999,77476.6,
05-07-2015 12:00:00,-21483.6,10869,76479.4,
05-07-2015 13:00:00,-21147.4,10468.4,76857.6,
05-07-2015 14:00:00,-20925,10202.8,77028.8,
05-07-2015 15:00:00,-20899.4,10128.4,77072,
05-07-2015 16:00:00,-20682.2,9853.19999999999,77381,
05-07-2015 17:00:00,-20639.8,9844.80000000002,77437.4,
05-07-2015 18:00:00,-20676,9889.20000000001,77413,
05-07-2015 19:00:00,-20597.4,9891.59999999999,77421.6,
05-07-2015 20:00:00,-20608,9878.80000000002,77449,
05-07-2015 21:00:00,-21261.2,10645.4,76721,
05-07-2015 22:00:00,-21222.4,10585,76782.4,
05-07-2015 23:00:00,-21097.6,10441,76924,
05-08-2015 00:00:00,-21012.4,10358.6,77006.6,
05-08-2015 01:00:00,-20711.2,10007.6,77323.8,
05-08-2015 02:00:00,-20652,9957.60000000002,77393.8,
05-08-2015 03:00:00,-20571.4,9874.60000000001,77509,
05-08-2015 04:00:00,-20663.8,9980.19999999998,77376.6,
05-08-2015 05:00:00,-20722,10019.6,77377.8,
05-08-2015 06:00:00,-20635.6,9989.60000000001,77384.2,
05-08-2015 07:00:00,-21621.6,11111.4,76323,
05-08-2015 08:00:00,-21103.2,10552.4,76843.6,
05-08-2015 09:00:00,-20799,10214.6,77137.8,
05-08-2015 10:00:00,-20797.8,10177,77075.6,
